"Category","Condition","Value","Dataset","OR","CI_low","CI_high","K....k","I2....I2","tau2....tau2","p_value"
"2nd-generation EGFR TKIs","location","Mixed","arrhy_total1",1.06176786079108,0.646156332376048,1.74470315266178,7,0.2908857496396,0.252597375794945,0.813023559154446
"1st-generation EGFR TKIs","location","Non-Asian","hf_total",0.500144091176661,0.171079650286683,1.46215000743662,3,0,0,0.205561230118275
"1st-generation EGFR TKIs","location","Asian","hf_total",1.05629702776667,0.441497850030745,2.52722275044148,8,0,0,0.902064566773234
"3rd-generation EGFR TKIs","location","Asian","hf_total",0.333333333333333,0.0135034420624435,8.22835471113988,1,NA,NA,0.501846780890261
"2nd-generation EGFR TKIs","location","Asian","hf_total",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","hf_total",0.919131194740514,0.554401953474679,1.5238080382841,18,0,0,0.74371949591162
"3rd-generation EGFR TKIs","location","Mixed","hf_total",0.717220307928856,0.462380781929028,1.11251373372287,11,0.388535788397876,0.575675498949087,0.137827026590561
"2nd-generation EGFR TKIs","location","Mixed","hf_total",1.05740412722179,0.354389467605659,3.15501331295158,3,0,0,0.920285012244236
"1st-generation EGFR TKIs","location","Non-Asian","vt_total",0.652829453898183,0.45963935793692,0.927218891328033,9,0.472914761964502,0.387611474239993,0.0172156298207065
"1st-generation EGFR TKIs","location","Asian","vt_total",0.298079013737914,0.199491350668713,0.44538822426702,16,0.559147327352957,1.34987408963587,3.47577432848553e-09
"3rd-generation EGFR TKIs","location","Asian","vt_total",32.6777325011951,9.08272563075554,117.567594225659,2,0,0,9.42008695731597e-08
"2nd-generation EGFR TKIs","location","Asian","vt_total",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","vt_total",0.6990944796354,0.58115027106468,0.840975416842396,31,0.189783319006735,0.0726889953854927,0.000146423895155929
"3rd-generation EGFR TKIs","location","Mixed","vt_total",0.454712270170052,0.380642162123614,0.543195865349396,11,0.902785560058489,1.08198127975451,3.71477435913716e-18
"2nd-generation EGFR TKIs","location","Mixed","vt_total",1.14458757828708,0.804957192831495,1.6275160170453,9,0.0156442725283506,0.00524953827197905,0.452102007168985
"1st-generation EGFR TKIs","location","Non-Asian","hyper_total",0.218561003426224,0.125323329438686,0.381165361889375,3,0.418125223299264,0.443448394356448,8.3689835318618e-08
"1st-generation EGFR TKIs","location","Asian","hyper_total",0.277581847268508,0.225044464726745,0.342384257380228,12,0.877030025335227,1.22708831443355,4.97329078523342e-33
"3rd-generation EGFR TKIs","location","Asian","hyper_total",0.342004012063198,0.20753699847399,0.563594660843007,4,0.856081131315911,2.53956068807102,2.55459820655912e-05
"3rd-generation EGFR TKIs","location","Mixed","hyper_total",0.747417596666221,0.582352725289439,0.959269253060781,11,0.596486643598568,0.283880202602026,0.02222132529321
"1st-generation EGFR TKIs","location","Mixed","hyper_total",0.281516070681878,0.229869670525883,0.344766222837738,16,0.75090462371189,0.635190585950895,1.52506329850758e-34
"2nd-generation EGFR TKIs","location","Mixed","hyper_total",0.902913367017038,0.612601086187389,1.33080493443439,6,0.277426401569933,0.112440547003157,0.605844344384428
"3rd-generation EGFR TKIs","follow_up","<2 years","cardiac_serious1",1.4765895397566,0.701724459611264,3.10708375496336,4,0,0,0.304527743016479
"1st-generation EGFR TKIs","follow_up","<2 years","cardiac_serious1",0.913143383731553,0.646588609198201,1.28958479532557,12,0,0,0.605909638175929
"2nd-generation EGFR TKIs","follow_up","<2 years","cardiac_serious1",0.815111990374734,0.407383393889494,1.6309146784537,3,0,0,0.563467518107833
"1st-generation EGFR TKIs","follow_up",">=2 years","cardiac_serious1",0.929122865608798,0.605078046392893,1.42670735542859,12,0,0,0.736905153799403
"3rd-generation EGFR TKIs","follow_up",">=2 years","cardiac_serious1",0.186842105263158,0.0213061705369778,1.63849117036688,1,NA,NA,0.12996462126151
"2nd-generation EGFR TKIs","follow_up",">=2 years","cardiac_serious1",0.992506413429947,0.342040800501363,2.87997507682027,2,0,0,0.988958628983019
"3rd-generation EGFR TKIs","follow_up","<2 years","cardiac_total1",1.02909756591068,0.767198247255309,1.38040174616152,6,0,0,0.848202869206782
"1st-generation EGFR TKIs","follow_up","<2 years","cardiac_total1",0.977294800247843,0.790315944370492,1.20851051202344,14,0,0,0.832125466086898
"2nd-generation EGFR TKIs","follow_up","<2 years","cardiac_total1",0.658627492287629,0.379717504594231,1.14240236056708,3,0,0,0.13723598920728
"1st-generation EGFR TKIs","follow_up",">=2 years","cardiac_total1",0.951023880477415,0.677710550709144,1.33456151788094,13,0,0,0.771445331044693
"3rd-generation EGFR TKIs","follow_up",">=2 years","cardiac_total1",0.216666666666667,0.0867611645802704,0.541076697985215,1,NA,NA,0.00105549087397629
"2nd-generation EGFR TKIs","follow_up",">=2 years","cardiac_total1",0.992506413429947,0.342040800501363,2.87997507682027,2,0,0,0.988958628983019
"3rd-generation EGFR TKIs","follow_up","<2 years","vascular_serious",1.52895718104374,0.895727538142497,2.60984502755494,5,0.771788077548826,2.8193867734435,0.119631505583303
"1st-generation EGFR TKIs","follow_up","<2 years","vascular_serious",0.355231667568515,0.284167395734368,0.44406761485567,16,0.795206865831456,1.14765546846416,1.0074758156633e-19
"2nd-generation EGFR TKIs","follow_up","<2 years","vascular_serious",1.01507661006059,0.458656332615944,2.24651978184915,2,0,0,0.97054964214858
"1st-generation EGFR TKIs","follow_up",">=2 years","vascular_serious",0.350560394365438,0.254550829840473,0.482782123219429,16,0.561997082800096,0.686479987379223,1.36639805953504e-10
"3rd-generation EGFR TKIs","follow_up",">=2 years","vascular_serious",0.986486486486487,0.192772669320262,5.04820310603109,1,NA,NA,0.986968383247453
"2nd-generation EGFR TKIs","follow_up",">=2 years","vascular_serious",1.79849076554389,0.673838609586431,4.80021326728645,2,0,0,0.24126675148058
"3rd-generation EGFR TKIs","follow_up","<2 years","vascular_total",1.17587084129642,0.864118079237135,1.60009640885167,5,0.936176788787117,3.60454723661958,0.302651556587121
"1st-generation EGFR TKIs","follow_up","<2 years","vascular_total",0.337140176843516,0.286083290576439,0.397309114464717,16,0.818381496430328,0.600968897590004,1.65817887420875e-38
"2nd-generation EGFR TKIs","follow_up","<2 years","vascular_total",0.670002950921322,0.381623277115844,1.17630129282447,2,0.368384524746804,0.114099463308999,0.163155310421024
"1st-generation EGFR TKIs","follow_up",">=2 years","vascular_total",0.384048437376851,0.308620675238988,0.477910956994006,17,0.780488483325278,0.934876952753157,9.64209564261721e-18
"3rd-generation EGFR TKIs","follow_up",">=2 years","vascular_total",0.174840085287846,0.0783194275461242,0.390312549277235,1,NA,NA,2.08050514595609e-05
"2nd-generation EGFR TKIs","follow_up",">=2 years","vascular_total",1.02493970808426,0.601725909071513,1.74581381551081,2,0,0,0.927767230608014
"3rd-generation EGFR TKIs","follow_up","<2 years","arrhy_serious1",1.17628876041201,0.496009730034172,2.7895727928085,4,0,0,0.712483459111046
"1st-generation EGFR TKIs","follow_up","<2 years","arrhy_serious1",1.08032125599742,0.630888759002524,1.84992044874139,10,0,0,0.778313533837671
"2nd-generation EGFR TKIs","follow_up","<2 years","arrhy_serious1",0.693656226493385,0.242191113031566,1.98669123127705,3,0,0,0.495672197890838
"3rd-generation EGFR TKIs","follow_up",">=2 years","arrhy_serious1",0.135483870967742,0.00687940572624582,2.66823618533992,1,NA,NA,0.188661502663728
"1st-generation EGFR TKIs","follow_up",">=2 years","arrhy_serious1",1.43004403642378,0.464048947025389,4.40691862188263,5,0,0,0.533330489190852
"2nd-generation EGFR TKIs","follow_up",">=2 years","arrhy_serious1",0.329179646936656,0.0133095183806971,8.14148467719886,1,NA,NA,0.497236448351952
"3rd-generation EGFR TKIs","follow_up","<2 years","hf_serious",0.988817916080239,0.149233865963129,6.55186987786568,2,0,0,0.990700703254828
"1st-generation EGFR TKIs","follow_up","<2 years","hf_serious",1.64250028156782,0.730705857624394,3.69205631349562,7,0,0,0.229844147496294
"2nd-generation EGFR TKIs","follow_up","<2 years","hf_serious",1,0.0623499876097063,16.0384955689121,1,NA,NA,1
"3rd-generation EGFR TKIs","follow_up",">=2 years","hf_serious",0.192258064516129,0.0090781244364227,4.07167401486442,1,NA,NA,0.289790590496442
"1st-generation EGFR TKIs","follow_up",">=2 years","hf_serious",0.904295128032045,0.271354410953971,3.01358535395692,5,0,0,0.869888313688664
"3rd-generation EGFR TKIs","follow_up","<2 years","vt_serious",1.96100331335208,0.878182412068848,4.37896949668852,2,0.868473093669187,7.73841130095327,0.100374147624791
"1st-generation EGFR TKIs","follow_up","<2 years","vt_serious",0.539695667764336,0.407027818324154,0.715605667943869,15,0.322524402144481,0.189007573404542,1.83011021508023e-05
"2nd-generation EGFR TKIs","follow_up","<2 years","vt_serious",0.749483299307558,0.380590399173088,1.47593112480348,2,0,0,0.404257237079469
"1st-generation EGFR TKIs","follow_up",">=2 years","vt_serious",0.580949822918698,0.398554792728885,0.846816304574842,16,0,0,0.00473104765922843
"3rd-generation EGFR TKIs","follow_up",">=2 years","vt_serious",2.02739726027397,0.360182553228226,11.4118232938449,1,NA,NA,0.422741591250678
"2nd-generation EGFR TKIs","follow_up",">=2 years","vt_serious",1.92860368682514,0.799337543864029,4.65324343812911,2,0,0,0.143861383435406
"3rd-generation EGFR TKIs","follow_up","<2 years","hyper_serious",0.262296745080693,0.079363225745357,0.866894986106977,2,0.685277889075334,3.03849826104336,0.028224593274084
"1st-generation EGFR TKIs","follow_up","<2 years","hyper_serious",0.230924703374699,0.162501950420468,0.328157406669354,7,0.876997818101857,4.23717056515618,2.96292243887813e-16
"1st-generation EGFR TKIs","follow_up",">=2 years","hyper_serious",0.202941855868686,0.123870690713649,0.332487020344745,8,0.646307636773719,1.39433276427463,2.42542373477927e-10
"3rd-generation EGFR TKIs","follow_up",">=2 years","hyper_serious",0.324731182795699,0.0130232506371017,8.0970829801492,1,NA,NA,0.493080023437552
"2nd-generation EGFR TKIs","follow_up",">=2 years","hyper_serious",0.329179646936656,0.0133095183806971,8.14148467719886,1,NA,NA,0.497236448351952
"3rd-generation EGFR TKIs","follow_up","<2 years","arrhy_total1",0.983911003045944,0.729032585028778,1.32789793185535,6,0,0,0.915556739178061
"1st-generation EGFR TKIs","follow_up","<2 years","arrhy_total1",1.11417101619947,0.866197074712717,1.4331346636684,12,0,0,0.399973527636632
"2nd-generation EGFR TKIs","follow_up","<2 years","arrhy_total1",0.553492009338199,0.278388420733789,1.10045311365227,3,0,0,0.0916096954773528
"3rd-generation EGFR TKIs","follow_up",">=2 years","arrhy_total1",0.336538461538462,0.113670183028457,0.996375065801743,1,NA,NA,0.0492383962555814
"1st-generation EGFR TKIs","follow_up",">=2 years","arrhy_total1",1.07110704806966,0.541125051389438,2.12015744877951,6,0,0,0.843685238770584
"2nd-generation EGFR TKIs","follow_up",">=2 years","arrhy_total1",0.329179646936656,0.0133095183806971,8.14148467719886,1,NA,NA,0.497236448351952
"3rd-generation EGFR TKIs","follow_up","<2 years","hf_total",0.988817916080239,0.149233865963129,6.55186987786568,2,0,0,0.990700703254828
"1st-generation EGFR TKIs","follow_up","<2 years","hf_total",1.14635100604447,0.558013000171991,2.35500002446918,8,0,0,0.710021619237311
"2nd-generation EGFR TKIs","follow_up","<2 years","hf_total",1,0.0623499876097063,16.0384955689121,1,NA,NA,1
"1st-generation EGFR TKIs","follow_up",">=2 years","hf_total",0.920322397742823,0.329241744953396,2.57255748631447,7,0,0,0.874207655702247
"3rd-generation EGFR TKIs","follow_up",">=2 years","hf_total",0.0777511961722488,0.00977463632422703,0.618462754591902,1,NA,NA,0.0157731665990288
"3rd-generation EGFR TKIs","follow_up","<2 years","vt_total",6.26557943102593,3.29183906466252,11.9257001437037,3,0.922332636266832,7.34960577139382,2.2949731875726e-08
"1st-generation EGFR TKIs","follow_up","<2 years","vt_total",0.502425511358057,0.398651166030405,0.633213736653543,16,0.684741660166506,0.664762653152913,5.51035505849375e-09
